name,avg_rating
Chicken Rico,4.900000095367432
Shakabrah,4.900000095367432
7-Eleven (200 E Main St),4.900000095367432
Bayleaf Authentic Indian Cuisine,4.900000095367432
Canela Cafe,4.900000095367432
MacKenzie River (Spokane),4.900000095367432
Bonefish Grill (22616 Bothell Everett Highway),4.900000095367432
Return of the Mac,4.900000095367432
Revolution Vegan Kitchen,4.900000095367432
Burger King (3595 FM1488),4.900000095367432
Afghan Bistro,4.900000095367432
7-Eleven (11501 LEESBURG PIKE),4.900000095367432
Teaism (Dupont Circle),4.900000095367432
Wild Burger (1819 W Stewart Ave.),4.900000095367432
Sandwich De Paris,4.900000095367432
The Greek Kitchen,4.900000095367432
Sticky Finger Diner,4.900000095367432
Maya Bistro,4.900000095367432
7-Eleven (5603 N Foster Rd),4.900000095367432
Embers Wood Fire Grill &amp; Bar,4.900000095367432
Wendy's  (2410 Prince William Parkway),4.900000095367432
El super pollo,4.900000095367432
The Fogcutter,4.900000095367432
Evergreen Lanes and Restaurant,4.900000095367432
The Filling Co. (Brambleton Town Center),4.900000095367432
Orapax Inn,4.900000095367432
McDonald's® (Grand &amp; Milwaukee),4.900000095367432
Little Big Burger (Mississippi Ave),4.900000095367432
Whataburger (2401 Gilmer Road),4.900000095367432
Arby's (710 Trout Rd),4.900000095367432
PLNT Burger (Tysons – Inside Whole Foods Market ),4.900000095367432
Sheetz - 10036 Sliding Hill Rd (286),4.900000095367432
Sobelman's Pub and Grill (Waukesha),4.900000095367432
Big Sai's Hawaiian BBQ,4.900000095367432
Five Guys WY-1626,4.900000095367432
Hop- Cask &amp; Barrel (1717 Wisconsin Ave Nw),4.900000095367432
The District Fishwife,4.900000095367432
3 Eyed Fish Kitchen + Bar,4.900000095367432
Whataburger (103 E Hwy 80),4.900000095367432
True Food Kitchen (GAITHERSBURG),4.800000190734863
7-Eleven (20630 Ashburn Rd),4.800000190734863
Carl's Jr. (1291 N Main Street),4.800000190734863
Wild Burger (702 W Riverdale Rd.),4.800000190734863
7-Eleven (1302 North Broadway Ave),4.800000190734863
A Burger Place (Mukilteo),4.800000190734863
McDonald's® (King Street),4.800000190734863
Hardee's (1235 S. Green Bay),4.800000190734863
McDonald's (1110 West Broadway),4.800000190734863
Bonefish Grill (4750 N Division Street),4.800000190734863
Pizza Movers &amp; Calzones,4.800000190734863
Pizza NY Margherita,4.800000190734863
HardWok Cafe (Bellevue),4.800000190734863
7-Eleven (7907 Rolling Rd),4.800000190734863
L&amp;L Hawaiian Barbecue (18613 International Blvd.- Bldg. B #13),4.800000190734863
AJ's Burgers,4.800000190734863
McDonald's® (Arlgtn-Wilson),4.800000190734863
7-Eleven (3541 Martin Way),4.800000190734863
Burger King (2703 S. Quillan St.),4.800000190734863
Wild Acre Brewing Co. Camp Bowie,4.800000190734863
Wienerschnitzel (5905 Evergreen Way),4.800000190734863
Wienerschnitzel (450 N. Harrisville Road),4.800000190734863
7-Eleven (3623 Jefferson Davis Hwy),4.800000190734863
Bananas Grill,4.800000190734863
Happy Burgers Levittown,4.800000190734863
7-Eleven (1821 S State St),4.800000190734863
Bongos,4.800000190734863
Applebee's (Richmond),4.800000190734863
Sheetz - 4021 Prince William Pkwy (244),4.800000190734863
L&amp;L Hawaiian BBQ (5312 Littlerock Rd. SW- Ste. 101),4.800000190734863
Sheetz - 432 18Th St W (427),4.800000190734863
Whataburger (6611 S Mo Pac Expy),4.800000190734863
Whataburger (5060 State Hwy 78),4.800000190734863
Whataburger (350 State Highway 78),4.800000190734863
McDonald's (1002 S I 45),4.800000190734863
Whataburger (1520 Keller Parkway),4.800000190734863
Milano's Family Restaurant (Springfield),4.800000190734863
Burger King (2624 Milton Avenue),4.800000190734863
Ñoños Tacos 2,4.800000190734863
Kraverz Frozen Custard (Milwaukee),4.800000190734863
Listrani's (McLean),4.800000190734863
West Pioneer Grill,4.800000190734863
McDonald's® (Alexand-Glebe),4.800000190734863
Shake 'N Go,4.800000190734863
First Watch (Plano),4.800000190734863
Suki's Bar &amp; Grill,4.800000190734863
Five Guys DC-0690 1140 19th St,4.800000190734863
NewYork Grill,4.800000190734863
MrBeast Burger (701 9th Westlake Ave N),4.800000190734863
Miller's Ale House Rockville,4.800000190734863
Wendy's  (9600 Longstreet Road),4.800000190734863
Wendy's  (9598 Ridgetop Blvd Nw),4.800000190734863
Wendy's  (940 Bellevue Way Ne),4.800000190734863
Wendy's  (9346 State Road 16),4.800000190734863
Newk's Eatery (110 E Loop 281),4.800000190734863
Arby's (7646),4.800000190734863
Newk's Eatery (408 Congress Ave),4.800000190734863
7-Eleven (3903 VICTORY BLVD),4.800000190734863
McDonald's® (2100 VOLKMAN ST),4.800000190734863
Wendy's  (819 91St Avenue Ne),4.800000190734863
BGR The Burger Joint (Reston),4.800000190734863
7-Eleven (39695 Proctor Blvd),4.800000190734863
McCormick &amp; Schmick's (1652 K St NW),4.800000190734863
HG Sply Co - Fort Worth,4.800000190734863
Newk's Eatery (8701 Cypress Waters Blvd),4.800000190734863
Newk's Eatery (9722 Great Hills Trail- Suite 130),4.800000190734863
Wendy's  (7909 Timberlake),4.800000190734863
Five Guys AL-1535 1221-A N Memorial Pkwy,4.800000190734863
Wendy's  (7707 W. Layton Avenue),4.800000190734863
Milwaukee Brat House (Downtown),4.800000190734863
Pomegranate Bistro,4.800000190734863
McDonald's® (20880 PIDGEON HILL DR),4.800000190734863
Shake Shack (Ballston),4.800000190734863
Brothers Gyros &amp; Pizza,4.800000190734863
Gyros Plus,4.800000190734863
Wendy's  (709 W SPRING CREEK PKWY),4.800000190734863
