category,num_restaurants
Mexican-Tex Mex,15
Fast Food-Mexican-Tex Mex,15
Chicken Strips-Fast Food-Fried Chicken,15
Italian-pizza-wings,15
Pizza-American-Italian-Alcohol,15
Pizza-Pasta-Salads,15
Breakfast and Brunch,15
American-Breakfast and Brunch-Coffee and Tea-Dinner-Desserts-Salads-Steak-Sandwich-Family Meals-Healthy,15
Sandwich-American-Burgers,15
Asian-Chinese,15
Mexican-Family Meals,15
Mexican-Family Friendly,15
American-Burgers-Pizza-Family Meals,15
Bakery-Cafe,15
Mexican-Exclusive to Eats,15
Sandwich-Salads-Healthy,14
Middle Eastern,14
Pizza-Italian-American,14
American-Sandwiches-Breakfast and Brunch,14
Healthy-Salads,14
Italian-Pasta-Salads,14
Ethiopian,14
European-Modern European-German,14
Mexican-New Mexican-Latin American,14
Burgers-American-Sandwich,14
Sandwich-American-Fast Food,14
Indian-Family Friendly,14
Pizza-Desserts-Salads-American-Healthy-Vegetarian Friendly-Kids Friendly-Family Friendly,14
Asian-Chinese-Chicken,14
Indian-Vegetarian-Asian-Alcohol,14
American-Wings-Burgers,14
American-Breakfast and Brunch-Coffee and Tea-Diner-Desserts-Salads-Steak-Sandwich-Healthy-Family Meals,14
Flowers-Plant Based,14
American-Salads-Sandwich-Healthy,14
American-Chicken-Comfort Food,14
Bakery-Desserts-Comfort Food,14
Thai-Asian-Noodles-Alcohol,14
Alcohol-Drinks-Wine,14
Snacks-Convenience-Everyday Essentials,14
Juice and Smoothies-Healthy-Bowls-Breakfast and Brunch,14
Italian-Pizza-Pasta,14
American-Steak,14
Sandwich-Fast Food-American-Burgers-Sandwiches,14
Comfort Food-American-Wings-Alcohol,14
wings-Family Friendly,14
Pizza-Comfort Food,14
Seafood-American-Southern-Healthy-Desserts-Alcohol,14
Healthy-Family Meals,13
American-Chicken-Sandwich,13
Ice Cream &amp; Frozen Yogurt-Desserts-Family Friendly-Kids Friendly,13
Bar Food-Burgers-Wings,13
Bakery-Comfort Food-Desserts-Pretzel,13
American-burger-Family Meals,13
Sushi-Japanese-Asian,13
Burgers-Bar Food-American-Family Meals,13
Sushi-Japanese,13
Burgers-Sandwich-American-Bar Food,13
Thai-Asian,13
Italian-Pizza-Pasta-Family Meals,13
Coffee and Tea-Juice and Smoothies,13
Italian-Pasta-Comfort Food-Allergy Friendly,13
American-Breakfast and Brunch-Juice and Smoothies-Healthy-Family Meals,13
Sandwich-Salads,13
Sandwich-Deli-American-Comfort Food-Kids Friendly,13
American-Breakfast and Brunch-burger-Comfort Food-Dinner-Omelette-salad-Traditional American,13
Sandwich-American-Kids Friendly,13
American-Sandwiches-Salads,13
Desserts-PIzza-Wings,13
American-Fast Food-Ice Cream &amp; Frozen Yogurt,13
American-Healthy-Sandwich,13
Fast Food-Family Meals,13
American-Burgers-Sandwiches-Chicken-Desserts,13
Asian Fusion,13
Asian,13
Gift Store-Baby-Retail,13
Burgers-American-Sandwiches-Wings,12
Desserts-Ice Cream &amp; Frozen Yogurt,12
Sandwiches-American-Healthy-Alcohol,12
Bakery-Comfort Food-Desserts-Family Meals,12
Healthy-Chicken-Salads-Sandwich-American-Comfort Food,12
American-Family Friendly,12
Italian-Pasta-Comfort Food-Family Friendly,12
Wings-American-Chicken,12
American-Burgers-Comfort Food-Family Meals,12
Pizza-Salads-Desserts-Healthy,12
Burgers-American-Fast Food,12
Desserts-Ice Cream + Frozen Yogurt-Juice Bars,12
Mexican-Latin American-Tacos,12
Sandwich-Burgers-American-Fast Food-Chicken-Breakfast and Brunch,12
Mexican-Burritos-Bowls-Salads,12
Mediterranean-Greek,12
Sandwich-Deli-American,12
Salads-Sandwich-Deli-Healthy-Family Meals,12
Pizza-Wings,12
Salads-Vegetarian Friendly-American,12
American-Fried Chicken-Fast Food-Sandwich-Family Meals-Southern,12
American-Wings-Salads-Family Meals-Healthy,12
Japanese-Sushi-Rolls,12
Convenience-Everyday Essentials-Home &amp; Personal Care,12
Bakery-Desserts-Snacks,11
Grocery-Convenience-Home &amp; Personal Care-Everyday Essentials,11
Peruvian-Latin American-Seafood,11
Japanese-Asian-Sushi-Family Friendly,11
American-Sandwich-Desserts,11
Fast Food-Burgers-Salads-Burritos-American-Healthy,11
American-Fast Food,11
Sandwich-Salads-Healthy-Family Meals,11
American-Fast Food-Comfort Food-Fried Chicken-Family Meals-Family Friendly,11
Fast Food,11
American-Pizza,11
Mexican-Burritos-Tacos-Quesadillas,11
Bakery-Cafe-Salads,11
Healthy-Mexican-Group Friendly,11
Pizza-Italian-Salads-Healthy,11
Comfort Food-Fried Chicken-Traditional American,11
Ice Cream + Frozen Yogurt-Desserts-Kids Friendly,11
Italian-Family Friendly,11
American-Sandwiches-Comfort Food,11
Juice and Smoothies-Fast Food-Healthy,11
BBQ,11
American-Sandwiches,11
American-Sandwich-Salads-Vegetarian Friendly,11
Thai-Asian-Noodles-Family Friendly,11
Pizza-Salads-Pasta,11
Alcohol-Liquor Stores-Drinks,11
Comfort Food-Fried Chicken-Traditional American-Wings,10
Grocery-Everyday Essentials-American-Convenience,10
New American,10
Pizza-American-Keto-Plant Based,10
Seafood-American-Southern-Healthy-Desserts,10
American-Sandwiches-Chicken,10
pizza-Sandwich,10
Mexican-Bowls-Tacos-Burritos,10
Thai-Asian-Noodles-Allergy Friendly,10
American-Exclusive to Eats,10
Bakery,10
Fast Food-American-Burgers,10
Specialty Foods-Gift Store,10
Pizza-Italian-Salads,10
Desserts-American-Comfort Food,10
Wings-Asian-Chicken-Family Friendly,10
American-Breakfast &amp; Brunch-Comfort Food-Desserts-Family Friendly,10
BBQ-American-Burgers-Family Meals,10
Burgers-American-Sandwiches-Steak-Seafood-Salads-BBQ-Healthy,10
Healthy-Juice and Smoothies,10
Asian-Asian Fusion-Rice-bowls-Vegetarian Friendly-Chinese,10
Pizza-American-Italian-Allergy Friendly,10
Greek-Mediterranean,10
Thai-Asian-Vegetarian Friendly,10
Burgers-American-Sandwiches-Desserts,10
Alcohol-Drinks-Liquor Stores-Wine,10
Asian-Chinese-Family Friendly,10
Burgers-American-Fast Food-Traditional American-Comfort Food,10
Mexican-New Mexican-Tacos,9
American-Sandwich-Chicken,9
Breakfast &amp; Brunch-Donuts-Coffee and Tea,9
Desserts-Ice Cream + Frozen Yogurt-Snacks,9
Sushi-Asian-Japanese-Family Friendly,9
Thai-Asian-Noodles-Group Friendly,9
Japanese-Sushi-Family Friendly,9
